team1,team2,venue,toss_winner,toss_decision,winner
Delhi Capitals,Punjab Kings,M. A. Chidambaram Stadium,Delhi Capitals,field,Punjab Kings
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,field,Rajasthan Royals
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,Mumbai Indians,field,Punjab Kings
Delhi Capitals,Gujarat Titans,Ekana Cricket Stadium,Gujarat Titans,bat,Gujarat Titans
Kolkata Knight Riders,Mumbai Indians,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Mumbai Indians
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,field,Delhi Capitals
Gujarat Titans,Mumbai Indians,Ekana Cricket Stadium,Gujarat Titans,field,Mumbai Indians
Mumbai Indians,Delhi Capitals,M. A. Chidambaram Stadium,Delhi Capitals,bat,Mumbai Indians
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,Mumbai Indians
Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Mumbai Indians,bat,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,bat,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,bat,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Ekana Cricket Stadium,Delhi Capitals,field,Delhi Capitals
Gujarat Titans,Punjab Kings,Arun Jaitley Stadium,Gujarat Titans,bat,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Delhi Capitals
Gujarat Titans,Punjab Kings,Ekana Cricket Stadium,Punjab Kings,field,Gujarat Titans
Punjab Kings,Gujarat Titans,M. Chinnaswamy Stadium,Punjab Kings,field,Punjab Kings
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Punjab Kings,bat,Royal Challengers Bangalore
Lucknow Super Giants,Rajasthan Royals,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,bat,Lucknow Super Giants
Mumbai Indians,Rajasthan Royals,M. A. Chidambaram Stadium,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,HPCA Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Delhi Capitals
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings
Lucknow Super Giants,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Chennai Super Kings,Rajasthan Royals,HPCA Stadium,Rajasthan Royals,field,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,Ekana Cricket Stadium,Lucknow Super Giants,bat,Kolkata Knight Riders
Chennai Super Kings,Lucknow Super Giants,Narendra Modi Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Lucknow Super Giants,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Lucknow Super Giants
Delhi Capitals,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,field,Delhi Capitals
Punjab Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Punjab Kings,bat,Royal Challengers Bangalore
Gujarat Titans,Delhi Capitals,HPCA Stadium,Delhi Capitals,field,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,HPCA Stadium,Mumbai Indians,field,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,field,Chennai Super Kings
Rajasthan Royals,Lucknow Super Giants,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,bat,Gujarat Titans
Chennai Super Kings,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Chennai Super Kings
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Chennai Super Kings
Lucknow Super Giants,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Lucknow Super Giants
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Lucknow Super Giants,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Lucknow Super Giants
Gujarat Titans,Rajasthan Royals,Ekana Cricket Stadium,Rajasthan Royals,bat,Gujarat Titans
Sunrisers Hyderabad,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Sunrisers Hyderabad
Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Lucknow Super Giants
Kolkata Knight Riders,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Lucknow Super Giants,Mumbai Indians,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,HPCA Stadium,Royal Challengers Bangalore,bat,Chennai Super Kings
Sunrisers Hyderabad,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Delhi Capitals,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Punjab Kings,Gujarat Titans,Ekana Cricket Stadium,Punjab Kings,bat,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Delhi Capitals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Delhi Capitals,bat,Delhi Capitals
Rajasthan Royals,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Chennai Super Kings,bat,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,bat,Royal Challengers Bangalore
Mumbai Indians,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,Gujarat Titans
Delhi Capitals,Gujarat Titans,Narendra Modi Stadium,Gujarat Titans,field,Gujarat Titans
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,Narendra Modi Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Delhi Capitals
Royal Challengers Bangalore,Gujarat Titans,Ekana Cricket Stadium,Gujarat Titans,bat,Gujarat Titans
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,field,Mumbai Indians
Rajasthan Royals,Punjab Kings,HPCA Stadium,Rajasthan Royals,field,Punjab Kings
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Lucknow Super Giants,bat,Mumbai Indians
Sunrisers Hyderabad,Gujarat Titans,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Punjab Kings,Rajasthan Royals,Wankhede Stadium,Punjab Kings,field,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Ekana Cricket Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,Punjab Kings,field,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,Punjab Kings,field,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Gujarat Titans
Punjab Kings,Delhi Capitals,HPCA Stadium,Punjab Kings,field,Delhi Capitals
Punjab Kings,Mumbai Indians,Eden Gardens,Punjab Kings,bat,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Ekana Cricket Stadium,Mumbai Indians,field,Chennai Super Kings
Lucknow Super Giants,Delhi Capitals,M. A. Chidambaram Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Lucknow Super Giants
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,field,Mumbai Indians
Lucknow Super Giants,Rajasthan Royals,HPCA Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,Punjab Kings
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Gujarat Titans,HPCA Stadium,Gujarat Titans,field,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,HPCA Stadium,Mumbai Indians,field,Mumbai Indians
Punjab Kings,Royal Challengers Bangalore,HPCA Stadium,Punjab Kings,bat,Punjab Kings
Gujarat Titans,Punjab Kings,Wankhede Stadium,Gujarat Titans,field,Gujarat Titans
Sunrisers Hyderabad,Kolkata Knight Riders,Ekana Cricket Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Lucknow Super Giants,Rajasthan Royals,Ekana Cricket Stadium,Lucknow Super Giants,bat,Rajasthan Royals
Kolkata Knight Riders,Mumbai Indians,HPCA Stadium,Mumbai Indians,field,Kolkata Knight Riders
Punjab Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,Gujarat Titans
Kolkata Knight Riders,Chennai Super Kings,Ekana Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Narendra Modi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Lucknow Super Giants
Mumbai Indians,Chennai Super Kings,Ekana Cricket Stadium,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Delhi Capitals,HPCA Stadium,Delhi Capitals,bat,Delhi Capitals
Punjab Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Punjab Kings,field,Lucknow Super Giants
Sunrisers Hyderabad,Rajasthan Royals,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Delhi Capitals,M. A. Chidambaram Stadium,Mumbai Indians,bat,Mumbai Indians
Mumbai Indians,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,field,Mumbai Indians
Gujarat Titans,Kolkata Knight Riders,Ekana Cricket Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Kolkata Knight Riders,Ekana Cricket Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Lucknow Super Giants
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,Mumbai Indians
Delhi Capitals,Punjab Kings,M. A. Chidambaram Stadium,Delhi Capitals,field,Delhi Capitals
Lucknow Super Giants,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Punjab Kings,Sunrisers Hyderabad,HPCA Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,Delhi Capitals,bat,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,bat,Chennai Super Kings
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,Mumbai Indians,field,Lucknow Super Giants
Rajasthan Royals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Rajasthan Royals,field,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Rajiv Gandhi Intl. Stadium,Punjab Kings,field,Punjab Kings
Delhi Capitals,Kolkata Knight Riders,M. A. Chidambaram Stadium,Delhi Capitals,field,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Arun Jaitley Stadium,Rajasthan Royals,field,Royal Challengers Bangalore
Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,Lucknow Super Giants,field,Royal Challengers Bangalore
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Chennai Super Kings,field,Royal Challengers Bangalore
Mumbai Indians,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings
Lucknow Super Giants,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings
Punjab Kings,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,Kolkata Knight Riders,bat,Mumbai Indians
Lucknow Super Giants,Gujarat Titans,HPCA Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Punjab Kings,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Punjab Kings,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Rajasthan Royals
Mumbai Indians,Lucknow Super Giants,Sawai Mansingh Stadium,Mumbai Indians,bat,Mumbai Indians
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals
Sunrisers Hyderabad,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,Mumbai Indians,bat,Delhi Capitals
Lucknow Super Giants,Gujarat Titans,Ekana Cricket Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Delhi Capitals,Punjab Kings,Eden Gardens,Delhi Capitals,bat,Delhi Capitals
Delhi Capitals,Lucknow Super Giants,Narendra Modi Stadium,Delhi Capitals,field,Lucknow Super Giants
Rajasthan Royals,Chennai Super Kings,Ekana Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Sawai Mansingh Stadium,Mumbai Indians,field,Kolkata Knight Riders
Lucknow Super Giants,Mumbai Indians,Narendra Modi Stadium,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Punjab Kings,Narendra Modi Stadium,Punjab Kings,field,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings
Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals
Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,HPCA Stadium,Delhi Capitals,bat,Delhi Capitals
Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Rajasthan Royals
Delhi Capitals,Rajasthan Royals,M. A. Chidambaram Stadium,Delhi Capitals,bat,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Lucknow Super Giants,Rajasthan Royals,Ekana Cricket Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,Wankhede Stadium,Gujarat Titans,bat,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,bat,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Ekana Cricket Stadium,Mumbai Indians,bat,Chennai Super Kings
Punjab Kings,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Punjab Kings
Delhi Capitals,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Delhi Capitals
Sunrisers Hyderabad,Lucknow Super Giants,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Lucknow Super Giants
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,field,Sunrisers Hyderabad
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,Delhi Capitals,bat,Delhi Capitals
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,HPCA Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Mumbai Indians
Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,Delhi Capitals,bat,Royal Challengers Bangalore
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Lucknow Super Giants,Delhi Capitals,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants
Mumbai Indians,Rajasthan Royals,Eden Gardens,Mumbai Indians,bat,Mumbai Indians
Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,Rajasthan Royals,bat,Mumbai Indians
Gujarat Titans,Rajasthan Royals,HPCA Stadium,Rajasthan Royals,field,Gujarat Titans
Kolkata Knight Riders,Royal Challengers Bangalore,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Gujarat Titans,Royal Challengers Bangalore,Eden Gardens,Gujarat Titans,bat,Gujarat Titans
Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,field,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,Mumbai Indians,bat,Mumbai Indians
Gujarat Titans,Sunrisers Hyderabad,Ekana Cricket Stadium,Sunrisers Hyderabad,field,Gujarat Titans
Sunrisers Hyderabad,Punjab Kings,Ekana Cricket Stadium,Sunrisers Hyderabad,field,Punjab Kings
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,bat,Gujarat Titans
Mumbai Indians,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Mumbai Indians,bat,Lucknow Super Giants
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,Punjab Kings,bat,Punjab Kings
Rajasthan Royals,Kolkata Knight Riders,Ekana Cricket Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Punjab Kings,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,Punjab Kings
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,field,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,bat,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Chennai Super Kings,field,Chennai Super Kings
Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Royal Challengers Bangalore
Gujarat Titans,Royal Challengers Bangalore,Narendra Modi Stadium,Gujarat Titans,bat,Gujarat Titans
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,Royal Challengers Bangalore,field,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Ekana Cricket Stadium,Rajasthan Royals,field,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Gujarat Titans,field,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,Ekana Cricket Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Gujarat Titans,bat,Sunrisers Hyderabad
Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Gujarat Titans
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,Mumbai Indians,field,Mumbai Indians
Sunrisers Hyderabad,Rajasthan Royals,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals
Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi Capitals,field,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,field,Mumbai Indians
Punjab Kings,Gujarat Titans,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Royal Challengers Bangalore,Delhi Capitals,HPCA Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Punjab Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Gujarat Titans,Mumbai Indians,Eden Gardens,Gujarat Titans,field,Gujarat Titans
Rajasthan Royals,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Gujarat Titans,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Kolkata Knight Riders
